"Location","String Value","String Representation","Data Type"
"00a7a9c8","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/fixstr.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/fixstr.h\"","ds"
"00a7aa3b","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/reference_object.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/reference_object.h\"","ds"
"00a7aaa5","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/singleton.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/singleton.h\"","ds"
"00a7aaff","C:/Monolithsoft/BF2/prog/application/BF2/battle/ai/ai_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/battle/ai/ai_manager.cpp\"","ds"
"00a7ab4d","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/fixed_list.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/fixed_list.h\"","ds"
"00a7ac13","C:/Monolithsoft/BF2/prog/application/BF2/battle/battle_global.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/battle/battle_global.cpp\"","ds"
"00a7aedd","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/fixed_vector.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/fixed_vector.h\"","ds"
"00a7af44","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/intrusive_ptr.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/intrusive_ptr.h\"","ds"
"00a7b00f","C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\mm_mtl/algorithm.h","\"C:/Monolithsoft/BF2/prog/application/BF2//../../libs/mcl/mm_lib/source\\mm_mtl/algorithm.h\"","ds"
"00a7b069","C:/Monolithsoft/BF2/prog/application/BF2/battle/battle_manager.cpp","\"C:/Monolithsoft/BF2/prog/application/BF2/battle/battle_manager.cpp\"","ds"
