"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__nnmusl_fini_dso","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"__nnmusl_init_dso","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"__cxa_guard_acquire","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"__cxa_guard_release","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"memcpy","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strcpy","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strlen","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"__cxa_pure_virtual","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"memset","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strcmp","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"logf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"powf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"vsnprintf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"atoi","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"sqrtf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"asinf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"atan2f","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"cosf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"sinf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"atanf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strncmp","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strncpy","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"memmove","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"UnlockMutex","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"LockMutex","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"tanf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"acosf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"atof","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"memcmp","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"snprintf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strcat","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strchr","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strrchr","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strstr","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strtok","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strtok_r","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"__next_prime","External[ ? ]","External Function","<EXTERNAL>::std","Imported","1","0"
"__init","External[ ? ]","External Function","<EXTERNAL>::std::string","Imported","1","0"
"~string","External[ ? ]","External Function","<EXTERNAL>::std::string","Imported","1","0"
"tolower","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strcasecmp","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"AbortImpl","External[ ? ]","External Function","<EXTERNAL>::nn::diag::detail","Imported","1","0"
"AcquireMemoryPool","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"ReleaseMemoryPool","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetMemoryPoolState","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"RequestAttachMemoryPool","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"RequestDetachMemoryPool","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"__sort<std::__less<unsigned_short\,unsigned_short>&\,unsigned_short*>","External[ ? ]","External Function","<EXTERNAL>::std","Imported","1","0"
"ListAddOnContent","External[ ? ]","External Function","<EXTERNAL>::nn::aoc","Imported","1","0"
"fmodf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"EnableScreenShot","External[ ? ]","External Function","<EXTERNAL>::nn::oe","Imported","1","0"
"DisableScreenShot","External[ ? ]","External Function","<EXTERNAL>::nn::oe","Imported","1","0"
"GetFileSize","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"IsSaveDataExisting","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"MountSaveDataReadOnly","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"Unmount","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"OpenFile","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"ReadFile","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"CloseFile","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"CompressZlib","External[ ? ]","External Function","<EXTERNAL>::nn::util","Imported","1","0"
"DecompressZlib","External[ ? ]","External Function","<EXTERNAL>::nn::util","Imported","1","0"
"GetUserId","External[ ? ]","External Function","<EXTERNAL>::nn::account","Imported","1","0"
"GetDisplayVersion","External[ ? ]","External Function","<EXTERNAL>::nn::oe","Imported","1","0"
"modff","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"sscanf","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"strtol","External[ ? ]","External Function","<EXTERNAL>","Imported","1","0"
"ReadFile","External[ ? ]","External Function","<EXTERNAL>::nn::fs","Imported","1","0"
"ClearEvent","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"WaitThread","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"SignalEvent","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"SleepThread","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"StartThread","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"CreateThread","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"DestroyThread","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"FinalizeEvent","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"FinalizeMutex","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"GetSystemTick","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"SetThreadName","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"FlushDataCache","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"InitializeEvent","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"InitializeMutex","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"SendMessageQueue","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"ConvertToTimeSpan","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"FinalizeMultiWait","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"InitializeMultiWait","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"LinkMultiWaitHolder","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"ReceiveMessageQueue","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"FinalizeMessageQueue","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"UnlinkMultiWaitHolder","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"InitializeMessageQueue","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"FinalizeMultiWaitHolder","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"InitializeMultiWaitHolder","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"WaitAny","External[ ? ]","External Function","<EXTERNAL>::nn::os","Imported","1","0"
"LogImpl","External[ ? ]","External Function","<EXTERNAL>::nn::diag::detail","Imported","1","0"
"StopAudioOut","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"CloseAudioOut","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"StartAudioOut","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetSampleByteSize","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"OpenDefaultAudioOut","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"AppendAudioOutBuffer","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetAudioOutSampleRate","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"SetAudioOutBufferInfo","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetAudioOutChannelCount","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetAudioOutSampleFormat","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetAudioOutBufferDataSize","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetReleasedAudioOutBuffer","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"InitializeAudioOutParameter","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"GetAudioOutBufferDataPointer","External[ ? ]","External Function","<EXTERNAL>::nn::audio","Imported","1","0"
"SetCoreMask","External[ ? ]","External Function","<EXTERNAL>::movie","Imported","1","0"
"SetAllocator","External[ ? ]","External Function","<EXTERNAL>::movie","Imported","1","0"
"StatusToString","External[ ? ]","External Function","<EXTERNAL>::movie","Imported","1","0"
"SetInt32Data","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"SetInt64Data","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"SetUint32Data","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"SetDataAndCapacity","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"SetRange","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Buffer","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Buffer","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Buffer","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Buffer","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"~Buffer","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"operator=","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Decoder","External[ ? ]","External Function","<EXTERNAL>::movie::Decoder","Imported","1","0"
"Extractor","External[ ? ]","External Function","<EXTERNAL>::movie::Extractor","Imported","1","0"
"Clear","External[ ? ]","External Function","<EXTERNAL>::movie::MediaData","Imported","1","0"
"MediaData","External[ ? ]","External Function","<EXTERNAL>::movie::MediaData","Imported","1","0"
"~MediaData","External[ ? ]","External Function","<EXTERNAL>::movie::MediaData","Imported","1","0"
"operator=","External[ ? ]","External Function","<EXTERNAL>::movie::MediaData","Imported","1","0"
"GetInt64Data","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"GetUint32Data","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Base","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Size","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Offset","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"Capacity","External[ ? ]","External Function","<EXTERNAL>::movie::Buffer","Imported","1","0"
"FindString","External[ ? ]","External Function","<EXTERNAL>::movie::MediaData","Imported","1","0"
"FindInt32","External[ ? ]","External Function","<EXTERNAL>::movie::MediaData","Imported","1","0"
